frame,timestamp,raw_action,raw_action_text,next_action_after_shift,next_action_text,goal_u,goal_v,relative_goal_frame_id,decision_target_type,system2_target
0,0.0,-1,START/INVALID,3,→,453,205,25,pixel_goal,"[""↓"", ""453 205""]"
1,0.03333333507180214,3,→,3,→,355,196,24,not sampled at sample_step,""""""
2,0.06666667014360428,3,→,3,→,261,197,23,not sampled at sample_step,""""""
3,0.10000000149011612,3,→,1,↑,226,282,13,not sampled at sample_step,""""""
4,0.13333334028720856,1,↑,3,→,258,332,11,pixel_goal,"[""↓"", ""258 332""]"
5,0.1666666716337204,3,→,1,↑,-1,-1,-1,not sampled at sample_step,""""""
6,0.20000000298023224,1,↑,1,↑,-1,-1,-1,not sampled at sample_step,""""""
7,0.23333333432674408,1,↑,2,←,-1,-1,-1,not sampled at sample_step,""""""
8,0.2666666805744171,2,←,1,↑,-1,-1,-1,discarded,""""""
9,0.30000001192092896,1,↑,2,←,-1,-1,-1,not sampled at sample_step,""""""
10,0.3333333432674408,2,←,1,↑,-1,-1,-1,not sampled at sample_step,""""""
11,0.36666667461395264,1,↑,2,←,-1,-1,-1,not sampled at sample_step,""""""
12,0.4000000059604645,2,←,1,↑,251,270,13,pixel_goal,"[""↓"", ""251 270""]"
13,0.4333333373069763,1,↑,2,←,210,327,11,not sampled at sample_step,""""""
14,0.46666666865348816,2,←,2,←,290,315,10,not sampled at sample_step,""""""
15,0.5,2,←,1,↑,370,317,9,not sampled at sample_step,""""""
16,0.5333333611488342,1,↑,1,↑,376,357,8,pixel_goal,"[""↓"", ""376 357""]"
17,0.5666666626930237,1,↑,1,↑,-1,-1,-1,not sampled at sample_step,""""""
18,0.6000000238418579,1,↑,1,↑,-1,-1,-1,not sampled at sample_step,""""""
19,0.6333333253860474,1,↑,3,→,-1,-1,-1,not sampled at sample_step,""""""
20,0.6666666865348816,3,→,1,↑,-1,-1,-1,discarded,""""""
21,0.699999988079071,1,↑,3,→,-1,-1,-1,not sampled at sample_step,""""""
22,0.7333333492279053,3,→,3,→,-1,-1,-1,not sampled at sample_step,""""""
23,0.7666666507720947,3,→,1,↑,455,328,8,not sampled at sample_step,""""""
24,0.800000011920929,1,↑,3,→,-1,-1,-1,turn,"""→"""
25,0.8333333134651184,3,→,1,↑,408,183,16,not sampled at sample_step,""""""
26,0.8666666746139526,1,↑,1,↑,408,183,16,not sampled at sample_step,""""""
27,0.8999999761581421,1,↑,3,→,408,183,16,not sampled at sample_step,""""""
28,0.9333333373069763,3,→,1,↑,311,180,15,pixel_goal,"[""↓"", ""311 180""]"
29,0.9666666388511658,1,↑,3,→,303,182,15,not sampled at sample_step,""""""
30,1.0,3,→,1,↑,206,188,14,not sampled at sample_step,""""""
31,1.0333333015441895,1,↑,1,↑,206,216,12,not sampled at sample_step,""""""
32,1.0666667222976685,1,↑,1,↑,198,231,11,pixel_goal,"[""↓"", ""198 231""]"
33,1.100000023841858,1,↑,2,←,196,266,9,not sampled at sample_step,""""""
34,1.1333333253860474,2,←,1,↑,273,218,10,not sampled at sample_step,""""""
35,1.1666666269302368,1,↑,1,↑,268,236,9,not sampled at sample_step,""""""
36,1.2000000476837158,1,↑,1,↑,265,256,8,pixel_goal,"[""↓"", ""265 256""]"
37,1.2333333492279053,1,↑,1,↑,258,281,7,not sampled at sample_step,""""""
38,1.2666666507720947,1,↑,1,↑,251,311,6,not sampled at sample_step,""""""
39,1.2999999523162842,1,↑,2,←,-1,-1,-1,not sampled at sample_step,""""""
40,1.3333333730697632,2,←,1,↑,318,342,4,pixel_goal,"[""↓"", ""318 342""]"
41,1.3666666746139526,1,↑,1,↑,-1,-1,-1,not sampled at sample_step,""""""
42,1.399999976158142,1,↑,1,↑,-1,-1,-1,not sampled at sample_step,""""""
43,1.4333332777023315,1,↑,1,↑,-1,-1,-1,not sampled at sample_step,""""""
44,1.4666666984558105,1,↑,1,↑,-1,-1,-1,discarded,""""""
45,1.5,1,↑,0,STOP,-1,-1,-1,stop,"""STOP"""
